Pump Delay (ps),Fitted Tau (s),Fitted wp (rad/s)
-0.4,5.05e-12,6.80e+13
-0.35,5.05e-12,6.80e+13
-0.3,5.05e-12,6.80e+13
-0.25,5.05e-12,6.80e+13
-0.2,5.05e-12,6.80e+13
-0.15,5.05e-12,6.80e+13
-0.1,1.00e-13,7.60e+13
-0.05,1.00e-13,7.00e+13
-0.0,1.00e-13,7.00e+13
0.05,1.00e-13,1.00e+12
0.1,1.00e-13,6.93e+13
0.15,1.00e-13,1.00e+12
0.2,1.00e-13,7.00e+13
0.25,1.00e-13,1.00e+12
0.3,1.00e-13,1.00e+12
0.35,1.00e-13,1.00e+12
0.4,1.00e-13,6.80e+13
0.45,5.05e-12,6.80e+13
0.5,1.00e-13,6.93e+13
0.55,5.05e-12,6.80e+13
0.6,1.00e-13,1.00e+12
0.65,1.00e-13,1.02e+12
0.7,1.00e-13,1.08e+12
0.75,1.00e-13,7.00e+13
0.8,1.00e-13,6.90e+13
0.85,1.00e-13,7.00e+13
0.9,1.00e-13,6.93e+13
0.95,5.05e-12,6.80e+13
1.0,1.00e-13,6.91e+13
1.05,1.00e-13,6.80e+13
1.1,1.00e-13,1.00e+12
1.15,1.00e-13,7.00e+13
1.2,1.00e-13,1.00e+12
1.25,1.00e-13,1.00e+12
1.3,1.00e-13,6.80e+13
1.35,1.00e-13,1.02e+12
1.4,1.00e-13,7.00e+13
1.45,1.00e-11,6.80e+13
1.5,1.00e-13,1.00e+12
1.55,1.00e-13,7.00e+13
1.6,5.05e-12,6.80e+13
1.65,1.00e-13,6.80e+13
1.7,1.00e-13,1.00e+12
1.75,1.00e-13,1.00e+12
1.8,1.00e-13,6.80e+13
1.85,1.00e-13,7.00e+13
1.9,1.00e-13,1.00e+12
1.95,1.00e-13,1.00e+12
2.0,1.00e-13,6.91e+13
110.0,1.00e-13,7.60e+13
-0.4,5.05e-12,6.80e+13
-0.35,5.05e-12,6.80e+13
-0.3,5.05e-12,6.80e+13
-0.25,5.05e-12,6.80e+13
-0.2,5.05e-12,6.80e+13
-0.15,5.05e-12,6.80e+13
-0.1,1.00e-13,7.60e+13
-0.05,1.00e-13,7.00e+13
-0.0,1.00e-13,7.00e+13
0.05,1.00e-13,1.00e+12
0.1,1.00e-13,6.93e+13
0.15,1.00e-13,1.00e+12
0.2,1.00e-13,7.00e+13
0.25,1.00e-13,1.00e+12
0.3,1.00e-13,1.00e+12
0.35,1.00e-13,1.00e+12
0.4,1.00e-13,6.80e+13
0.45,5.05e-12,6.80e+13
0.5,1.00e-13,6.93e+13
0.55,5.05e-12,6.80e+13
0.6,1.00e-13,1.00e+12
0.65,1.00e-13,1.02e+12
0.7,1.00e-13,1.08e+12
0.75,1.00e-13,7.00e+13
0.8,1.00e-13,6.90e+13
0.85,1.00e-13,7.00e+13
0.9,1.00e-13,6.93e+13
0.95,5.05e-12,6.80e+13
1.0,1.00e-13,6.91e+13
1.05,1.00e-13,6.80e+13
1.1,1.00e-13,1.00e+12
1.15,1.00e-13,7.00e+13
