Pump Delay (ps),Fitted Tau (s),Fitted wp (rad/s)
-0.3,5.05e-12,6.80e+13
-0.25,5.05e-12,6.80e+13
-0.2,5.05e-12,6.80e+13
-0.15,5.05e-12,6.80e+13
-0.1,1.00e-11,6.79e+13
-0.05,5.05e-12,6.80e+13
-0.0,1.00e-11,6.80e+13
0.05,1.00e-13,1.00e+14
0.1,1.00e-11,6.80e+13
0.15,1.00e-11,6.79e+13
0.2,1.00e-11,1.00e+14
0.25,1.00e-11,6.80e+13
0.3,1.00e-11,6.80e+13
0.35,1.00e-11,6.80e+13
0.4,1.00e-11,6.80e+13
0.45,1.00e-11,6.80e+13
0.5,1.00e-11,6.80e+13
0.55,5.05e-12,6.80e+13
0.6,1.00e-11,1.00e+14
0.65,1.00e-13,1.00e+14
0.7,1.00e-11,1.00e+14
0.75,1.00e-11,1.00e+14
0.8,1.00e-11,1.00e+14
0.85,1.00e-11,6.77e+13
0.9,1.00e-11,6.80e+13
0.95,1.00e-11,6.79e+13
1.0,1.00e-11,1.00e+14
1.05,1.00e-11,6.80e+13
1.1,1.00e-11,1.00e+14
1.15,1.00e-11,1.00e+14
1.2,5.05e-12,6.80e+13
1.25,5.05e-12,6.80e+13
1.3,1.00e-11,6.79e+13
1.35,1.00e-11,6.80e+13
1.4,1.00e-11,6.79e+13
1.45,1.00e-11,6.80e+13
1.5,1.00e-13,1.00e+14
1.55,5.05e-12,6.80e+13
1.6,1.00e-11,6.80e+13
1.65,1.00e-13,1.00e+14
1.7,1.00e-11,1.00e+14
1.75,5.05e-12,6.80e+13
1.8,1.00e-13,5.48e+13
1.85,1.00e-11,1.00e+14
1.9,1.00e-11,1.00e+14
1.95,1.00e-11,6.79e+13
2.0,1.00e-11,9.66e+13
110.0,1.00e-11,6.80e+13
-0.3,5.05e-12,6.80e+13
-0.25,5.05e-12,6.80e+13
-0.3,5.05e-12,6.80e+13
110.0,1.00e-11,6.80e+13
2.0,1.00e-11,9.66e+13
1.95,1.00e-11,6.79e+13
2.0,1.00e-11,9.66e+13
110.0,1.00e-11,6.80e+13
-0.3,5.05e-12,6.80e+13
-0.25,5.05e-12,6.80e+13
-0.2,5.05e-12,6.80e+13
-0.15,5.05e-12,6.80e+13
-0.1,1.00e-11,6.79e+13
-0.05,5.05e-12,6.80e+13
-0.0,1.00e-11,6.80e+13
0.05,1.00e-13,1.00e+14
0.1,1.00e-11,6.80e+13
0.15,1.00e-11,6.79e+13
0.2,1.00e-11,1.00e+14
0.25,1.00e-11,6.80e+13
0.3,1.00e-11,6.80e+13
0.35,1.00e-11,6.80e+13
0.4,1.00e-11,6.80e+13
0.45,1.00e-11,6.80e+13
0.5,1.00e-11,6.80e+13
0.55,5.05e-12,6.80e+13
0.6,1.00e-11,1.00e+14
0.65,1.00e-13,1.00e+14
0.7,1.00e-11,1.00e+14
