Frequency (THz),Measured Reflectivity (abs),Fitted Reflectivity (abs),Real(n),Imaginary(n)
0.0,1.5321550290597412,,inf,
9.765625e-14,1.530615166926921,1.0,151309360.01000866,-111816230.9742726
1.953125e-13,1.519389768619313,1.0,109620141.81427142,-61316746.913274035
2.9296875e-13,1.4960307407846456,1.0,87259670.90930812,-38254698.46291262
3.90625e-13,1.47656136951103,1.0,72030094.93775676,-25611677.125650503
4.8828125e-13,1.4770187548253817,1.0,60943270.15358431,-18095083.265582714
5.859375e-13,1.492904285867416,1.0,52588108.73733403,-13350283.555461662
6.8359375e-13,1.5056762019686076,1.0,46119963.720371395,-10202067.95664275
7.8125e-13,1.4998617912725203,1.0,40995114.18764975,-8023522.32873305
8.7890625e-13,1.471506470779658,1.0,36851461.51673225,-6461548.48992014
9.765625e-13,1.4278117374856365,1.0,33441454.014163446,-5307518.742327659
1.07421875e-12,1.383216654271923,1.0,30591719.24533491,-4432832.136421631
1.171875e-12,1.353403023475165,1.0,28178059.76298064,-3755203.1388645004
1.26953125e-12,1.347355316451312,1.0,26109621.0598777,-3220224.927255586
1.3671875e-12,1.3621029917073018,1.0,24318650.865045972,-2790869.9748196267
1.46484375e-12,1.385335694040602,1.0,22753733.18132623,-2441288.0458400957
1.5625e-12,1.4044159852436737,1.0,21375224.918321244,-2153020.0284255305
1.66015625e-12,1.4140410219722899,1.0,20152116.97626344,-1912617.1140869767
1.7578125e-12,1.4158162734236974,1.0,19059834.850545578,-1710103.2616173627
1.85546875e-12,1.4130878819693655,1.0,18078670.74803584,-1537958.1100567544
1.953125e-12,1.4082307829010325,1.0,17192647.865185704,-1390429.396936438
2.05078125e-12,1.4009818606546698,1.0,16388685.435295744,-1263058.885260383
2.1484375e-12,1.384361562957182,1.0,15655976.426890863,-1152349.5900542608
2.24609375e-12,1.345892284057333,1.0,14985517.818671182,-1055528.3377559457
2.34375e-12,1.2832995323353238,1.0,14369751.857352676,-970373.7915507546
2.44140625e-12,1.2165523721683664,1.0,13802289.079649858,-895090.1679702806
2.5390625e-12,1.1769146493778126,1.0,13277692.292079754,-828213.3231634604
2.63671875e-12,1.189484923157932,1.0,12791306.50300555,-768540.0897338685
2.734375e-12,1.262581793499721,1.0,12339123.855182273,-715074.5286541093
2.83203125e-12,1.3758355460880793,1.0,11917675.476046056,-666986.6337944674
2.9296875e-12,1.4737675642863206,1.0,11523944.217644468,-623580.3054780286
3.02734375e-12,1.5029142089816214,1.0,11155293.746087627,-584268.2946456427
3.125e-12,1.4686425228286641,1.0,10809410.529378561,-548552.4397222147
3.22265625e-12,1.418057151402093,1.0,10484256.077379009,-516007.95845673577
3.3203125e-12,1.384654899105813,1.0,10178027.388171667,-486270.87276588817
3.41796875e-12,1.3727790306478729,1.0,9889124.007061362,-459027.8734963818
3.515625e-12,1.3718774425946922,1.0,9616120.447495433,-434008.0995747892
3.61328125e-12,1.371932152435919,1.0,9357742.985597488,-410976.4298114735
3.7109375e-12,1.3656465565875413,1.0,9112850.042251423,-389727.97789685696
3.80859375e-12,1.3397269230118334,1.0,8880415.523648813,-370083.5504725038
3.90625e-12,1.2766302602343966,1.0,8659514.613875493,-351885.8806821486
4.00390625e-12,1.1802970114810432,1.0,8449311.60957702,-334996.4896851502
4.1015625e-12,1.0860529007456454,1.0,8249049.463065693,-319293.0594114958
4.19921875e-12,1.0245596567382662,1.0,8058040.760969405,-304667.22366106464
4.296875e-12,0.996720383281648,1.0,7875659.914124735,-291022.703196646
4.39453125e-12,0.9853113221556185,1.0,7701336.37351329,-278273.7250065603
4.4921875e-12,0.9743649227062335,1.0,7534548.718648794,-266343.6773559764
4.58984375e-12,0.9611731983311947,1.0,7374819.490500143,-255163.9613102437
4.6875e-12,0.9570339412385026,1.0,7221710.661991475,-244673.00663121426
4.78515625e-12,0.9791709928788397,1.0,7074819.656298093,-234815.42572376513
4.8828125e-12,1.0477441875048965,1.0,6933775.83729737,-225541.28395471355
4.98046875e-12,1.1984962104379624,1.0,6798237.408220997,-216805.46841885344
5.078125e-12,1.5230742537006523,1.0,6667888.664252265,-208567.1402718416
5.17578125e-12,2.310222828746962,1.0,6542437.552888313,-200789.2582310273
5.2734375e-12,4.734258717393883,1.0,6421613.502637705,-193438.1628756537
5.37109375e-12,8.394465002670627,1.0,6305165.486285486,-186483.21304564565
5.46875e-12,5.1494353930747865,1.0,6192860.289722292,-179896.46701337257
5.56640625e-12,3.957796916957058,1.0,6084480.961356354,-173652.40224077596
5.6640625e-12,3.5311832222104536,1.0,5979825.420533426,-167727.6684792947
5.76171875e-12,3.261434492020265,1.0,5878705.206282683,-162100.86975746634
5.859375e-12,3.0031021074820092,1.0,5780944.350170953,-156752.371459351
5.95703125e-12,2.7720799275178454,1.0,5686378.359152613,-151664.12924893008
6.0546875e-12,2.588819801990415,1.0,5594853.296105257,-146819.53705994302
6.15234375e-12,2.457863608543853,1.0,5506224.947289323,-142203.2917623035
6.25e-12,2.387833457227954,1.0,5420358.06730255,-137801.27244759933
6.34765625e-12,2.387895843344724,1.0,5337125.693250076,-133600.43255726318
6.4453125e-12,2.4488262848541535,1.0,5256408.520845804,-129588.70331608912
6.54296875e-12,2.526459461889831,1.0,5178094.336022989,-125754.90713763805
6.640625e-12,2.5540207690883725,1.0,5102077.496381318,-122088.67984236074
6.73828125e-12,2.501922892689416,1.0,5028258.457450239,-118580.40067861462
6.8359375e-12,2.4094096004060197,1.0,4956543.339317508,-115221.12926503025
6.93359375e-12,2.3359052471411483,1.0,4886843.529669762,-112002.54868311458
7.03125e-12,2.314703867023962,1.0,4819075.319727859,-108916.91404425992
7.12890625e-12,2.3453308471244148,1.0,4753159.569942512,-105957.0059377077
7.2265625e-12,2.3984100433508733,1.0,4689021.402652179,-103116.0882373933
7.32421875e-12,2.42109311031671,1.0,4626589.919201743,-100387.86980756572
7.421875e-12,2.3516874382372546,1.0,4565797.939281925,-97766.4697009832
7.51953125e-12,2.1727976412555505,1.0,4506581.760480812,-95246.38549046287
7.6171875e-12,1.9684310707141255,1.0,4448880.9362434745,-92822.46441558811
7.71484375e-12,1.8529572412548727,1.0,4392638.070617289,-90489.87706225911
7.8125e-12,1.8544034996211585,1.0,4337798.628321857,-88244.09332421781
7.91015625e-12,1.9191644270569808,1.0,4284310.758825889,-86080.86042328074
8.0078125e-12,2.0078383842014897,1.0,4232125.133241238,-83996.18278928199
8.10546875e-12,2.109402021251218,1.0,4181194.7929583318,-81986.30362210452
8.203125e-12,2.180527470483424,1.0,4131475.0090491744,-80047.68797703045
8.30078125e-12,2.1704204194140733,1.0,4082923.1515552183,-78177.00723129966
8.3984375e-12,2.1131286378726952,1.0,4035498.5678591696,-76371.12480450334
8.49609375e-12,2.0650680305792912,1.0,3989162.4694129964,-74627.08301849998
